URL,LIKES,SHARES
http://www.nongmoshoppingguide.com/tips-for-avoiding-gmos.html,1942,3822
http://www.nongmoshoppingguide.com/why-should-i-avoid-gmos.html,1105,2238
http://www.healthyhealing.com/healthy-healing-newsletter/december-2013-newsletter-gmo-education-and-gmo-free-herbs,0,0
http://www.healthyhealing.com/healthy-healing-newsletter/january-2014-newsletter-healthy-detox-gmo-free-herbs,0,0
http://www.gmo.news/2015-10-08-new-research-says-gmo-crop-contamination-unstoppable.html,898,486
http://www.gmo.news/2015-10-14-top-gmo-lies-uncovered.html,246,112
http://www.gmo.news/2015-10-13-safe-act-sham-to-protect-gmos.html,182,113
http://www.gmo.news/2015-10-16-gmos-in-your-mayonnaise-the-top-10-brands-are-all-made-with-gmo-oils.html,383,264
http://www.gmo.news/2015-08-19-genetically-modified-glow-in-the-dark-lamb-accidentally-winds-up-in-french-food-supply.html,0,0
http://www.gmo.news/2015-08-19-experimental-gmo-wheat-crop-devoured-by-aphids-written-off-as-yet-another-total-biotech-failure.html,0,0
http://www.gmo.news/2015-10-06-new-zealand-claims-first-gmo-free-region.html,1592,436
http://www.gmo.news/2015-10-01-organic-farms-buried-by-gmo-costs.html,631,266
http://www.gmo.news/2015-10-02-poland-is-the-10th-eu-country-to-ban-gmos.html,3892,1123
http://www.gmo.news/2015-10-09-more-than-half-of-european-union-bans-gm-crops.html,1031,323
http://www.gmo.news/2015-09-08-academias-biotech-prostitutes-exposed-gmo-secret-emails-monsanto-kevin-folta-of-the-university-of-florida-biofortified-boys.html,407,246
http://www.gmo.news/2015-10-15-how-kevin-folta-and-the-biofortified-boys-destroyed-democracy-in-hawaii-to-pave-the-way-for-gmo-imperialism.html,290,93
http://www.gmo.news/2015-09-10-greece-and-latvia-ban-monsantos-gmo-pest-resistant-corn.html,3039,944
http://www.gmo.news/2015-09-18-hungary-plans-to-produce-gmo-free-milk-eggs-and-meat.html,23,15
http://www.gmo.news/2015-09-07-mike-pompeo-lied-gmo.html,403,228
http://themindunleashed.org/2015/07/heres-the-politicians-who-were-paid-to-make-gmo-labeling-illegal.html,10032,7011
http://themindunleashed.org/2014/12/monsanto-unleash-gmo-marijuana.html,1601,1404
http://themindunleashed.org/2014/10/gmo-farming-poisoning-worlds-drinking-water.html,850,541
http://themindunleashed.org/2014/05/8-beers-stop-drinking-immediately.html,395754,302045
http://themindunleashed.org/2014/02/even-monsanto-rethinking-gmos.html,149,81
http://themindunleashed.org/2014/02/worlds-first-genetically-modified-babies-born.html,3686,3840
http://themindunleashed.org/2014/05/genetic-engineers-agree-gmos-neither-safe-necessary.html,1718,725
hemindunleashed.org/2014/10/first-gmo-mosquitoes-now-oxitec-wants-release-gmo-moths-new-york.html,0,0
http://www.naturalnews.com/048633_GMO_apples_genetically_modified_fruit_apple_polyphenols.html,5320,1645
http://www.naturalnews.com/049243_artificial_selection_GMO_science_Neil_Degrasse_Tyson.html,1363,132
http://www.naturalnews.com/048805_GMO_dangers_USDA_Dr_Robert_Kremer.html,8101,1419
http://www.naturalnews.com/050411_Russia_GMOs_agriculture.html,39873,13577
http://www.naturalnews.com/051242_GM_crops_Russia_non-GMO.html,27470,10343
http://gmosummit.org/?orid=107337&opid=56,14789,12707
http://www.naturalnews.com/049091_GMOs_labeling_food_industry.html,1912,231
http://www.naturalnews.com/050525_DARK_Act_GMO_labeling_House_of_Representatives.html,13633,12378
http://www.naturalnews.com/045477_GMO_crops_plague_biotech_industry.html,6011,5411
http://www.naturalnews.com/049510_Chipotle_non-GMO_foods_clean_fast_food.html,61545,5370
http://www.naturalnews.com/048927_GMO_corn_Syngenta_US_farmers.html,7174,2699
http://www.naturalnews.com/048631_GMOs_genetic_pollution_South_Korea.html,2139,261
http://www.naturalnews.com/048851_GMOs_organic_food_pesticide.html,1052,487
http://www.naturalnews.com/035734_GMOs_foods_dangers.html,7157,10543
http://www.naturalnews.com/050454_GMO_research_biotech_dangers_health_issues.html,2749,1898
http://foodrevolution.org/blog/daily-show-monsanto/,1729,807
http://foodrevolution.org/blog/tag/gmos/,0,0
http://foodrevolution.org/blog/gmo-news/,1367,385
http://foodrevolution.org/blog/former-pro-gmo-scientist/,6264,5735
http://foodrevolution.org/blog/category/blog/genetically-engineered-foods/,4,5
http://foodrevolution.org/blog/tag/gmo-cultivation-eu/,0,0
http://foodrevolution.org/blog/whole-foods-gmos/,671,281
http://foodrevolution.org/blog/gmos-world-hunger/,188,132
http://foodrevolution.org/blog/tag/mexico-bans-gmo-corn/,0,2
http://foodrevolution.org/blog/italy-gmo-corn/,2514,748
http://foodrevolution.org/blog/tag/gmo-labeling/,0,0
http://foodrevolution.org/blog/tag/genetically-modified-food/,0,0
http://www.gmofreeusa.org/food-testing/frito-lay-sunchips/,4491,2283
http://www.gmofreeusa.org/food-testing/operation-label-gmos/,24,15
