URL,LIKES,SHARES
http://www.gmfreeze.org/actions/5/,140,138
http://www.gmfreeze.org/why-freeze/uk-field-trials/,0,8
http://www.gmfreeze.org/gmwheatnothanks/food-companies-reject-gm-wheat/,16,16
http://www.gmfreeze.org/why-freeze/unwanted/where-buy-non-gm-fed/,200,295
http://www.gmfreeze.org/gmwheatnothanks/food-companies-reject-gm-wheat/,16,16
http://www.gmfreeze.org/news-releases/242/,45,33
http://www.gmfreeze.org/actions/27/,5,9
http://www.gmfreeze.org/news-releases/154/,1,5
http://www.gmfreeze.org/news-releases/122/,0,0
http://www.gmfreeze.org/news-releases/11/,0,0
http://www.gmfreeze.org/gmwheatnothanks/gm-wheat-news/,2,8
http://www.gmfreeze.org/why-freeze/unnecessary-non-gm-works/,0,16
http://www.gmfreeze.org/news-releases/27/?printable,0,0
http://www.genewatch.org/sub-568547,291,798
http://www.genewatch.org/sub-572167,0,4
http://www.genewatch.org/sub-530852,0,0
http://www.genewatch.org/sub-396422,2,6
http://www.genewatch.org/sub-405258,1,6
http://www.genewatch.org/sub-532322,2,8
http://www.genewatch.org/sub-568232,0,1
http://www.genewatch.org/sub-568238,0,9
http://www.genewatch.org/sub-570907,0,0
http://www.genewatch.org/sub-405263,0,1
http://www.genewatch.org/sub-568236,0,2
http://www.genewatch.org/sub-532324,0,6
http://www.genewatch.org/sub-568863,0,0
http://www.genewatch.org/sub-538684,0,0
http://www.genewatch.org/sub-568237,1,9
http://www.globalresearch.ca/the-battle-against-gmos-in-the-philippines-confronting-wto-towards-mainstreaming-sustainable-agriculture-in-the-country/5463069,677,454
http://www.globalresearch.ca/gmo-soy-accumulates-carcinogenic-formaldehyde-game-changing-study/5463241,3514,1459
http://www.globalresearch.ca/new-study-finds-gmo-corn-makes-rats-infertile/5459913,1255,1193
http://www.globalresearch.ca/64-nations-say-no-to-gmo-yet-us-govt-nears-illegal-gmo-labeling/5466107,73,84
http://www.globalresearch.ca/over-40-rodent-feeding-studies-show-genetically-modified-food-is-disastrous-to-health/5481036,652,637
http://www.globalresearch.ca/gmo-labeling-laws-ditched-the-passage-of-the-dark-act-shows-the-arrogance-of-us-politicians/5464711,906,649
http://www.globalresearch.ca/gmo-labeling-5-things-to-know-about-the-dark-act-deny-americans-the-right-to-know/5463926,379,254
http://www.globalresearch.ca/wales-and-bulgaria-latest-to-join-massive-eu-wave-of-gmo-bans/5479515,408,247
http://www.globalresearch.ca/who-was-really-paid-to-bury-gmo-labeling-via-the-dark-act/5465097,210,304
http://www.globalresearch.ca/100000-german-beekeepers-call-for-gmo-cultivation-ban/5456622,1322,592
http://www.globalresearch.ca/five-gmo-myths-debunked-by-vandana-shiva/5470930,150,167
http://www.globalresearch.ca/wales-announces-complete-ban-on-gmos-with-15-other-eu-countries/5479845,393,212
http://www.globalresearch.ca/monsantos-looting-of-indias-agriculture-political-backing-of-gmo-hypnotic-trance-in-delhi/5465864,116,105
http://www.globalresearch.ca/russia-completely-bans-gmos-in-food-production/5477532,1539,492
http://www.globalresearch.ca/gmo-industry-set-to-flood-u-s-food-supply-with-toxic-chemicals/5470351,371,322
http://www.globalresearch.ca/who-will-bail-out-humanity-if-the-gmo-evangelists-win/5463074,7,19
http://www.globalresearch.ca/the-pro-gmo-lobbys-latest-scapegoat-organic-farming-is-starving-the-poor-monsanto-can-save-the-world-from-hunger/5456408,10,33
http://www.globalresearch.ca/gmo-corn-increased-pesticide-use-by-300-us-government-agency-claims-exact-opposite-to-protect-biotech-industry/5462402,560,522
http://www.globalresearch.ca/monsanto-teams-up-with-world-wildlife-fund-wwf-to-convert-amazon-into-giant-gmo-plantation/5476826,1975,2100
http://www.globalresearch.ca/senate-passes-tpp-fast-tracking-that-could-make-gmo-labeling-illegal/5458117,30,64
http://www.realfoodchallenge.org/blog/labeling-it-ourselves-real-food-calculator-students-take-prop-37-their-own-hands,62,70
http://www.realfoodchallenge.org/foodday2012,67,115
http://www.realfoodchallenge.org/blog/biggest-attack-food-justice-you%E2%80%99ve-never-heard,0,0
http://www.realfoodchallenge.org/blog/4-lessons-largest-student-movement-you%E2%80%99ve-never-heard,3,0
http://www.realfoodchallenge.org/blog/open-letter-students-against-fast-track-and-tpp,170,45
http://www.realfoodchallenge.org/blog/food-day-campus-highlights,12,12
http://www.realfoodchallenge.org/blog/we-did-it-over-225-college-events-nationwide-food-day-2011,2,5
https://www.organic-center.org/organic-fact-sheets/5factstoknowaboutgmos/,1,8
https://www.organic-center.org/hot-science/gmo-crops-continue-to-foster-development-of-super-bugs/,0,1
https://www.organic-center.org/hot-science/gmo-farming-less-profitable-than-conventional-and-traditional-farming/,9,3
https://www.organic-center.org/news/response-to-should-companies-be-required-to-label-genetically-modified-foods/,4,2
https://www.organic-center.org/news/re-publication-of-the-seralini-study-showing-gmo-toxicity/,0,0
https://www.organic-center.org/hot-science/gmo-article-in-may-2012-vogue-magazine/,0,0
https://www.organic-center.org/news/gmo-wheat-discovery-dangers-and-implications/,0,0
https://www.organic-center.org/hot-science/resistance-to-bt-genetically-modified-crops-found-in-5-major-pests/,0,0
https://www.organic-center.org/hot-science/study-gmos-linked-to-leukemia-and-anemia/,0,0
https://www.organic-center.org/hot-science/the-importance-of-monitoring-harm-of-gmos-on-butterfly-populations/,0,0
https://www.organic-center.org/news/response-to-op-ed-five-myths-about-organic-food/,2,0
https://www.organic-center.org/hot-science/genetically-modified-feed-has-negative-effects-on-pig-health/,0,0
https://www.organic-center.org/who-we-are/science-advisory-board/,0,0
https://www.organic-center.org/hot-science/organic-shows-healthiest-nutritional-profile-in-soybeans-gm-soybeans-have-high-pesticide-residues/,0,0
https://www.organic-center.org/citrus-research/savecitrus/,0,0
https://www.organic-center.org/hot-science/gm-crops-responsible-for-decline-in-monarch-butterflies/,0,0
https://www.organic-center.org/uncategorized/agricultural-runoff-study/,0,0
https://www.organic-center.org/uncategorized/john-quinn-thurman-university/,0,0
https://www.organic-center.org/hot-science/harvard-research-confirms-link-between-neonicotinoids-and-honeybee-population-decline/,0,0
https://www.organic-center.org/hot-science/roundup-residues-found-in-european-city-dwellers/,0,0
http://www.cornucopia.org/2015/08/the-next-great-gmo-debate/,0,6
http://www.cornucopia.org/2015/03/biotech-agribusinesses-spending-heavily-defeat-state-gmo-food-labeling-votes/,8,11
http://www.cornucopia.org/2015/06/monsanto-gmos-defeated-by-oregon-organic-farmers-as-federal-judge-upholds-seed-ban/,683,412
http://www.cornucopia.org/2015/03/non-gmo-hurting-organic/,1,6
http://www.cornucopia.org/2015/05/farmers-turn-to-gmo-free-crops-to-boost-income/,13,4
http://www.cornucopia.org/2015/04/claims-of-gmo-yield-increases-dont-hold-up/,1,2
http://www.cornucopia.org/2015/05/does-usda-actually-have-a-gmo-free-label/,1,4
http://www.cornucopia.org/2015/09/growing-doubt-a-scientists-experience-of-gmos/,462,343
http://www.cornucopia.org/2015/08/congress-is-having-a-messy-food-fight-over-gmo-labeling/,3,5
http://www.cornucopia.org/2015/06/jackson-countys-gmo-ban-taking-effect-what-happens-next/,0,1
http://www.cornucopia.org/2015/07/another-too-big-to-fail-system-in-gmos/,4,6
http://www.cornucopia.org/2015/07/battle-over-gmo-labeling-shifts-to-senate/,35,48
http://www.cornucopia.org/2015/07/systems-biology-group-international-center-for-integrative-systems-gmo-soy-accumulates-formaldehyde-disrupts-plant-metabolism/,156,188
http://www.cornucopia.org/2015/07/call-your-representative-today-act-now-on-ge-labeling-to-stop-the-dark-act/,25,57
http://www.ucsusa.org/our-work/food-agriculture/our-failing-food-system/genetic-engineering-agriculture#.ViuptRArJYg,0,0
http://www.ucsusa.org/food_and_agriculture/our-failing-food-system/genetic-engineering/failure-to-yield.html,645,2082
http://www.ucsusa.org/food_and_agriculture/our-failing-food-system/genetic-engineering/alternatives-to-genetic.html#.ViupuBArJYg,2,20
http://www.ucsusa.org/food_and_agriculture/our-failing-food-system/genetic-engineering/high-and-dry.html,20,73
http://www.ucsusa.org/food_and_agriculture/our-failing-food-system/genetic-engineering/risks-of-genetic-engineering.html,100,374
http://www.ucsusa.org/food_and_agriculture/our-failing-food-system/genetic-engineering/suppressing-research.html,46,171
http://www.ucsusa.org/food_and_agriculture/our-failing-food-system/genetic-engineering/promoting-resistant-pests.html,36,135
http://www.ucsusa.org/food_and_agriculture,101,58
http://www.ucsusa.org/food_and_agriculture/our-failing-food-system/industrial-agriculture/the-rise-of-superweeds.html,1264,971
http://www.ucsusa.org/news/press_release/monsantos-droughtgard-corn-0391.html,60,77
http://responsibletechnology.org/10-reasons-to-avoid-gmos/,125,127
http://responsibletechnology.org/gmo-education/,41,63
http://responsibletechnology.org/gmo-education/faqs/,2,2
http://responsibletechnology.org/gmo-education/gmos-in-food/,1,2
http://responsibletechnology.org/gmo-education/the-ge-process/,0,2
http://responsibletechnology.org/gmo-education/health-risks/,9,16
,,
http://responsibletechnology.org/gmo-education/dangers-to-the-environment/,1,1
http://responsibletechnology.org/buy-non-gmo/,0,0
http://responsibletechnology.org/gmo-education/autism/,5,26
http://responsibletechnology.org/gmo-education/65-health-risks-1/,0,1
http://responsibletechnology.org/gmo-education/gluten-disorders/,1,5
http://responsibletechnology.org/shop-non-gmo/non-gmo-seed/,0,0
http://responsibletechnology.org/glutenintroduction/,18,24
https://www.organicconsumers.org/old_articles/gefood/countrieswithbans.php,99,200
https://www.organicconsumers.org/old_articles/kelloggs.php,24,70
https://www.organicconsumers.org/campaigns/millions-against-monsanto,720,547
https://www.organicconsumers.org/categories/genetic-engineering,4,12
https://www.organicconsumers.org/news/video-hilary-clinton-endorses-gmos-solution-focused-crop-biotechnology,315,260
https://www.organicconsumers.org/essays/why-does-dairy-industry-oppose-gmo-labels,547,463
https://www.organicconsumers.org/essays/gmo-and-%E2%80%98natural%E2%80%99-food-fight-treacherous-terrain,0,1
https://www.organicconsumers.org/old_articles/ge/allergies111603.php,0,4
https://www.organicconsumers.org/news/hillary-clinton-just-plain-wrong-gmos,125,68
http://www.foei.org/press/archive-by-subject/food-sovereignty-press/us-force-feeds-gm-crops-african-nations-says-new-report,9,4
http://www.foei.org/press/eus-double-standards-on-gmos-in-central-asia,0,0
http://www.foei.org/press/illegal-gmo-corn-contaminates-imports-to-japan,0,0
http://www.foei.org/press/archive-by-subject/economic-justice-resisting-neoliberalism-press/public-bite-back-gmo-trade-war,0,0
http://www.foei.org/press/archive-by-subject/food-sovereignty-press/new-report-more-states-suspend-genetically-modified-crops,0,0
http://www.foei.org/press/archive-by-subject/food-sovereignty-press/environment-ministers-tighten-rules-traceability-gmos,0,0
http://rodaleinstitute.org/tag/gmo/,0,0
http://rodaleinstitute.org/gmo-honey/,0,4
http://rodaleinstitute.org/ask-the-famer-breaking-free-from-pro-gmo-myths/,0,2
http://rodaleinstitute.org/who-is-responsible-for-gmo-contamination/,0,1
http://rodaleinstitute.org/want-to-avoid-gmos-look-for-this-label/,0,0
http://rodaleinstitute.org/gmo-pushers-and-the-art-of-war/,78,38
http://newfarm.rodaleinstitute.org/features/0802/strategies.shtml,0,0
http://rodaleinstitute.org/cracking-the-big-food-brick-wall/,161,77
http://rodaleinstitute.org/washington-state-push-for-gmo-labeling/,0,0
http://rodaleinstitute.org/our-work/farming-systems-trial/,271,377
http://rodaleinstitute.org/chemical-cotton/,25,38
http://rodaleinstitute.org/gmos-and-sustainable-agriculture/,0,5
http://rodaleinstitute.org/tag/farming-systems-trial-2/,0,2
http://www.i-sis.org.uk/list.php,6004,8424
http://www.i-sis.org.uk/Global_Status_of_GM_and_nonGMs.php,100,105
http://www.i-sis.org.uk/Substantial_Non-Equivalence.php,207,254
http://www.i-sis.org.uk/Changing_from_GMO_to_non-GMO_soy.php,694,525
http://www.i-sis.org.uk/Scientists_Declare_No_Consensus_on_GMO_Safety.php,768,725
http://www.i-sis.org.uk/Ban_GMOs_Now.php,418,569
http://www.i-sis.org.uk/Ending_GMOs_Now.php,202,40
http://www.i-sis.org.uk/Devastating_Impacts_of_Glyphosate_Argentina.php,483,74
,,
http://www.i-sis.org.uk/GMO_Labelling_and_Non-GMO_labelling.php,35,37
http://www.i-sis.org.uk/isp/GMOFree.php,8,10
http://www.i-sis.org.uk/Syngenta_Charged_for_Covering_Up_Livestock_Deaths_from_GM_Corn.php,1007,1483
http://www.i-sis.org.uk/bse.php,5,6
http://www.i-sis.org.uk/horizontalGeneTransfer.php,31,94
http://www.i-sis.org.uk/Horizontal_Transfer_of_GM_DNA_Widespread.php,76,130
http://www.i-sis.org.uk/about.php,38,24
http://www.i-sis.org.uk/Synonymous_Mutations_Built_Into_GM_Crops.php,57,74
,,
http://www.march-against-monsanto.com/media-blackout-as-france-and-russia-both-announce-monsanto-gmo-bans/,81304,30386
,,
http://www.march-against-monsanto.com/food-policy-expert-speaks-safety-of-gmos-for-humans-has-not-been-proven-video/,465,206
http://www.march-against-monsanto.com/weaddup/,113,62
http://www.march-against-monsanto.com/the-history-of-gmos-facts-you-may-not-know/,36,28
http://www.march-against-monsanto.com/breaking-news-poland-becomes-14th-european-nation-to-officially-re-gmos/,71205,17618
http://www.march-against-monsanto.com/tag/jane-goodall-gmo/,0,0
http://www.march-against-monsanto.com/chipotle-snaps-back-at-meritless-non-gmo-lawsuit-claims/,387,81
http://www.march-against-monsanto.com/worlds-largest-gmo-health-study-factor-gmo-set-to-be-launched-by-russian-organization-international-scientists/,23,21
http://www.march-against-monsanto.com/op-ed-naturopathic-doctor-connects-the-dots-between-gmos-and-vaccines/,1988,1396
http://www.march-against-monsanto.com/sorry-monsanto-lithuania-becomes-latest-european-country-to-ban-all-gmos/,12419,3636
http://occupy-monsanto.com/tag/non-gmo-project/,16,5
http://occupy-monsanto.com/tag/gmo/,15,19
http://occupy-monsanto.com/tag/genetically-modified-organisms/,0,3
http://occupy-monsanto.com/tag/trader-gmos/,12,42
http://occupy-monsanto.com/tag/gmo-corn/,0,1
http://occupy-monsanto.com/tag/gmo-free/,0,1
http://occupy-monsanto.com/tag/bernie-sanders/,297,204
